login_Attempts,failed_Validations,avg_flow,current_flow,packets_flow,botnet
6,3,500,570,11,1
4,6,530,796,7,0
10,7,500,399,8,1
2,5,500,1069,8,1
5,1,500,460,12,1
5,12,500,860,11,0
9,11,550,539,14,0
2,11,550,593,9,0
4,2,550,370,9,0
1,3,500,615,14,1
9,8,530,894,2,1
3,11,550,1305,7,1
7,2,530,410,4,1
7,3,530,719,6,1
3,5,500,1002,2,1
1,9,530,1325,14,0
7,6,500,1001,8,1
4,12,530,1208,5,1
9,8,500,340,13,0
0,8,550,870,8,0
7,7,550,488,3,0
7,2,550,638,11,0
9,6,530,370,12,0
8,7,530,362,7,0
7,4,550,1033,8,1
10,2,500,1038,5,0
2,0,500,517,7,0
6,10,500,506,15,1
9,11,500,990,15,1
6,0,500,395,4,1
4,6,550,1098,15,0
3,12,550,1048,3,1
1,9,500,873,9,0
5,11,530,1287,11,1
9,6,500,530,14,0
0,8,550,1307,9,1
8,2,550,1059,8,0
8,4,500,1118,10,1
7,10,530,1001,8,1
8,3,500,1129,1,1
3,11,530,1136,2,0
0,4,500,1251,1,0
0,1,530,549,6,0
6,4,500,684,3,1
1,4,530,1001,6,1
6,3,550,552,8,0
0,5,500,1183,2,1
5,10,550,1101,1,0
10,5,500,1070,4,1
10,3,550,695,3,0
2,3,550,1169,9,0
7,6,530,1201,1,1
10,11,500,772,2,1
6,9,550,612,12,1
9,8,500,301,1,1
4,4,550,358,9,0
2,2,530,449,1,1
3,10,500,1267,4,1
7,3,530,556,14,0
2,8,500,1213,14,1
1,5,550,1069,13,0
3,0,500,697,5,1
3,7,550,544,1,1
0,11,550,1232,6,0
5,5,530,694,3,1
7,10,550,575,5,1
0,11,550,1309,1,0
2,3,550,541,1,0
0,11,530,806,14,0
5,2,500,336,8,0
0,4,550,448,12,0
3,12,500,1227,7,0
2,1,500,1034,6,1
2,7,530,1121,2,1
5,6,530,968,11,1
1,9,500,403,1,0
10,5,550,826,10,0
9,2,530,1250,8,0
9,6,500,335,13,1
0,7,530,729,14,1
2,6,550,441,2,1
6,5,550,1014,10,0
5,9,530,671,1,1
9,5,550,403,11,1
4,0,500,871,12,1
4,6,530,1206,4,1
2,6,500,669,12,1
2,0,550,1136,12,1
6,9,500,773,5,1
6,8,500,940,10,1
9,0,550,1151,14,1
8,7,500,1184,1,1
6,4,530,1190,7,0
9,2,500,385,9,0
4,0,530,1079,14,1
4,11,530,803,5,0
3,0,530,1063,5,0
9,9,530,1166,4,1
1,3,550,1255,10,0
9,0,500,815,8,1
6,1,500,1287,11,1
7,11,530,1004,12,1
0,0,500,990,11,0
2,0,500,467,10,0
1,12,550,1103,3,0
0,9,500,1221,10,1
1,2,500,1202,4,1
4,1,500,374,13,1
3,8,500,1060,4,1
4,8,550,1038,3,1
3,1,500,1298,8,0
4,11,500,994,13,0
8,2,500,1097,1,0
3,8,530,726,11,0
0,3,500,532,3,1
8,6,530,1064,4,1
2,9,550,493,5,0
2,11,500,1247,11,0
3,4,550,493,9,0
4,9,530,1264,14,0
9,4,550,564,13,0
10,1,550,937,9,1
9,11,500,552,6,0
7,9,500,1245,11,1
9,1,500,328,5,1
2,7,500,1132,6,1
0,6,500,600,4,1
5,11,550,1136,13,1
5,6,550,1063,10,0
6,2,500,952,2,1
9,3,500,1194,9,0
0,2,500,647,14,0
0,8,500,1233,5,1
9,11,500,971,13,1
4,5,500,502,12,0
3,2,550,881,9,1
8,0,530,472,15,0
4,5,530,588,7,0
10,11,530,1065,8,1
5,11,500,307,10,1
3,9,530,645,2,1
4,8,550,851,15,0
8,0,500,1023,13,1
2,12,530,923,3,1
4,8,530,339,8,1
1,10,500,304,7,1
0,5,500,445,15,0
10,4,530,392,9,1
10,10,500,760,1,1
1,8,550,860,1,0
6,5,500,1008,15,0
5,2,500,322,5,0
4,9,530,412,1,0
8,0,550,1034,13,1
0,0,530,677,15,1
6,9,530,1003,6,1
5,2,550,655,12,0
5,11,500,1289,14,0
8,0,550,652,7,0
4,4,530,907,11,0
6,5,530,1135,2,1
1,10,550,796,2,1
8,5,500,1283,15,1
6,9,550,430,5,0
3,9,500,629,1,1
3,7,500,845,6,0
1,12,530,1076,11,1
10,2,550,1110,7,0
10,5,500,494,3,0
1,12,530,380,3,0
4,1,530,1158,6,0
5,0,500,532,12,1
1,0,530,1059,13,0
8,9,500,346,9,1
7,10,550,397,13,0
9,3,500,307,1,0
3,7,530,855,10,1
6,7,530,694,10,1
10,7,550,356,3,0
6,10,550,857,13,1
1,9,530,1068,3,0
8,6,500,327,10,0
8,0,550,435,10,1
8,0,500,511,9,1
9,2,500,408,2,0
3,5,530,952,8,1
0,11,550,903,9,0
5,3,530,649,2,0
7,10,500,1265,5,1
8,0,500,961,5,1
5,6,530,1172,14,1
7,6,500,1058,3,1
2,7,500,847,8,0
5,1,550,353,15,1
5,0,530,833,6,0
8,1,550,1064,8,1
2,12,500,625,10,1
3,2,500,831,1,1
0,9,530,649,6,0
10,3,500,558,1,1
1,7,530,590,7,1
1,12,530,925,1,0
4,8,500,1076,11,0
7,5,550,768,14,0
0,4,530,1285,12,1
4,7,550,486,2,1
2,2,500,595,6,1
7,10,500,528,14,1
2,4,500,304,3,0
9,3,500,1048,10,0
1,7,550,965,14,1
2,12,530,1194,7,0
0,8,500,524,15,0
1,4,550,388,3,1
5,2,550,528,8,1
3,12,500,777,7,0
3,12,530,770,1,0
4,10,550,638,14,1
5,1,530,846,11,1
0,5,530,1238,15,0
3,12,550,506,8,0
3,11,500,429,11,0
2,2,530,1140,11,0
3,10,530,1171,8,1
5,7,550,1164,10,1
10,11,530,470,8,1
1,8,500,922,8,1
10,11,500,1187,5,1
7,9,500,903,15,1
9,8,530,380,13,1
7,8,530,1108,7,1
0,4,500,645,14,1
5,6,500,300,15,1
6,2,550,1010,15,0
4,8,530,765,9,0
9,8,550,924,4,1
8,9,550,1155,2,1
6,1,550,767,11,0
10,10,550,528,6,1
8,6,530,830,8,1
0,0,500,362,11,1
9,11,530,798,1,1
6,0,500,988,4,1
5,11,550,1050,8,0
6,0,500,1289,7,0
10,7,550,667,14,0
0,12,500,585,8,0
1,0,530,700,15,1
1,5,500,413,14,1
2,3,500,563,13,0
6,2,530,787,3,1
1,11,500,386,7,1
1,6,500,307,1,0
6,2,550,792,15,0
7,5,500,538,5,0
2,0,550,613,2,0
7,7,530,820,4,1
3,4,530,798,14,0
6,1,550,679,7,0
6,4,550,973,13,0
3,12,530,843,1,0
4,3,550,1095,15,1
2,6,550,745,4,0
4,5,530,1234,2,0
2,3,530,1183,12,1
0,9,530,961,11,1
6,0,530,444,1,1
8,7,530,566,9,0
8,5,530,564,14,1
9,9,500,408,2,0
4,10,530,475,5,1
3,8,530,363,1,0
8,5,530,917,7,0
