login_Attempts,failed_Validations,avg_flow,current_flow,packets_flow,botnet
6,3,500,1494,11,1
4,6,530,696,11,0
4,3,550,1019,12,1
1,11,500,1384,12,1
8,0,550,1332,10,0
2,11,550,1517,3,1
6,4,500,366,18,1
1,9,500,764,2,1
6,11,500,975,15,1
2,0,530,1255,6,0
3,5,500,902,18,1
1,9,530,1225,14,1
7,6,500,495,16,1
4,7,530,446,13,0
0,8,550,770,1,0
7,10,550,842,8,1
2,2,500,578,5,1
9,8,550,450,8,0
0,6,550,1054,3,1
5,10,550,1210,3,0
2,0,500,1441,14,0
8,9,530,1121,13,1
2,6,500,763,4,1
6,6,500,1394,4,1
6,10,550,1359,2,1
9,12,530,1242,6,1
3,10,530,1484,1,0
10,8,500,1482,7,1
5,7,550,898,5,1
9,11,550,1506,20,1
0,0,530,793,12,0
1,2,500,1151,17,0
1,1,530,1084,5,0
0,2,530,1383,12,0
5,6,550,452,17,1
7,4,530,427,11,1
0,8,550,713,3,1
10,3,550,396,20,1
3,8,500,750,18,1
10,11,500,672,18,1
9,2,550,393,16,1
0,1,500,453,12,1
10,6,500,1456,3,1
2,2,530,1373,1,1
10,0,530,333,20,1
8,2,500,1113,14,1
5,2,500,360,4,0
4,3,550,1468,17,0
10,2,530,1275,14,1
5,12,550,687,8,1
1,4,530,513,15,0
0,4,500,1015,19,1
0,0,530,706,14,1
2,11,500,1260,17,1
2,11,500,1339,1,0
1,8,530,795,3,1
7,1,550,1103,2,0
9,1,530,1014,8,1
10,5,550,1008,3,0
7,12,530,1132,4,1
3,0,530,629,14,1
6,11,530,1063,19,1
8,9,550,1463,17,1
3,9,530,1307,11,0
0,7,500,1203,12,1
3,5,500,1191,20,0
2,6,500,569,10,0
0,7,550,1331,5,0
6,8,500,1281,1,1
1,5,500,687,13,0
6,4,530,1090,3,0
2,4,530,926,14,0
0,3,500,1427,16,0
4,6,500,1477,5,0
9,5,500,1323,2,0
9,9,550,691,1,1
3,7,550,507,17,1
10,3,530,609,1,0
2,10,500,1491,3,1
7,9,550,534,13,0
1,12,550,1003,3,0
9,7,500,1169,2,1
2,8,550,1469,18,1
7,3,500,1220,4,0
8,7,550,1372,16,1
3,1,500,295,5,0
6,12,550,466,3,0
0,0,530,825,16,0
10,2,500,595,9,1
8,6,530,964,20,1
2,9,550,393,5,0
8,3,550,1424,16,1
4,9,530,1164,14,1
4,2,550,982,11,1
8,9,530,721,17,1
5,6,530,1421,10,0
10,9,530,258,5,0
7,12,500,699,17,1
8,12,530,1505,19,1
5,6,550,963,19,0
2,12,500,953,20,0
8,6,500,586,13,0
8,11,500,1023,1,1
5,4,530,287,12,1
4,5,500,402,5,0
2,3,500,246,9,0
0,4,530,1512,16,1
10,11,530,965,16,1
7,5,500,1231,4,0
9,11,530,769,5,1
8,3,550,751,17,0
4,3,500,931,16,0
2,12,530,1112,5,1
1,9,530,1495,13,0
7,0,530,1318,18,1
0,10,500,262,17,1
1,8,550,760,1,0
6,5,500,908,5,1
4,6,500,876,10,1
0,4,530,686,14,0
3,0,500,687,2,0
7,6,530,479,2,0
2,10,530,497,1,1
4,10,500,600,16,0
6,4,500,777,11,0
5,11,530,1035,18,1
10,2,550,498,6,0
6,9,550,330,5,1
9,7,500,984,20,1
7,4,530,282,2,0
10,10,550,360,16,0
5,7,500,1418,3,1
1,12,530,1304,19,1
1,11,530,763,6,0
8,11,530,1299,2,1
0,9,500,1296,15,1
7,10,550,297,17,0
0,7,500,1476,20,0
7,5,530,703,14,0
9,10,550,1280,3,1
6,10,550,1547,6,1
2,2,550,1465,5,0
6,8,500,1454,12,1
8,0,500,1435,4,0
8,12,530,340,4,1
1,7,500,947,19,0
4,5,530,544,13,0
8,0,500,861,6,0
3,10,530,579,9,0
2,7,500,747,6,0
10,3,550,895,17,0
5,2,530,423,15,1
9,2,500,525,4,0
0,3,500,339,15,1
5,4,530,368,4,0
2,0,530,919,10,1
9,11,530,242,8,1
0,4,500,984,9,1
7,5,550,1368,17,1
1,4,550,1410,2,0
2,0,530,1102,5,0
2,4,500,204,19,1
9,3,500,1265,18,1
6,7,530,1029,19,1
5,0,550,824,15,1
0,0,550,752,2,1
7,7,550,1312,19,1
5,5,550,640,19,0
3,12,500,677,7,1
5,8,500,1220,5,1
0,3,530,746,10,0
5,12,550,1064,4,0
3,7,550,1430,8,0
3,11,500,329,19,1
3,9,550,318,20,0
9,7,530,1387,8,1
6,9,530,592,12,1
7,1,500,1192,15,1
10,11,500,1087,5,1
7,9,500,803,9,1
5,2,500,978,1,0
4,9,530,649,1,1
6,2,550,910,15,0
8,9,500,316,9,0
3,8,530,304,6,0
1,10,530,576,17,1
10,11,550,1452,7,1
3,5,500,1384,17,1
10,5,530,385,18,1
6,0,500,888,20,0
7,0,550,1414,19,0
2,12,500,628,16,1
1,0,530,1428,18,1
0,1,530,1176,4,0
6,6,550,1049,10,1
9,2,530,391,1,0
1,6,500,1231,1,1
2,7,550,692,8,0
4,2,550,1256,8,0
7,7,530,720,16,1
3,3,500,381,14,0
1,6,530,1004,1,0
2,12,550,949,18,1
4,3,550,995,2,0
6,11,500,1004,6,1
8,1,500,1139,3,1
5,11,500,913,14,0
0,1,550,1482,14,1
1,12,500,1424,11,0
9,9,500,1332,2,1
6,4,550,1087,18,1
9,3,500,1133,2,1
8,5,530,817,10,0
10,8,550,895,8,1
1,11,500,1020,7,1
0,9,500,901,14,0
5,10,500,1018,4,1
4,10,550,925,17,1
7,2,530,327,15,1
5,4,500,950,20,0
3,10,500,1157,13,0
8,9,530,302,9,0
0,8,500,1138,8,0
6,2,550,1502,12,1
5,1,550,1317,17,0
9,8,550,261,16,1
7,4,500,573,16,1
8,1,500,1491,15,1
8,12,530,276,10,1
0,6,530,1210,7,0
4,6,500,1082,16,0
10,6,500,793,20,1
6,2,530,844,17,1
7,2,500,1321,3,1
7,9,550,1232,12,1
6,7,500,1181,13,1
1,0,500,1331,2,0
9,1,530,480,13,1
2,10,550,1063,20,0
0,12,530,474,12,1
7,11,550,626,10,0
6,3,500,776,17,0
7,1,530,522,16,0
8,0,500,1163,12,1
4,12,500,1138,6,1
7,10,530,455,7,1
10,7,500,1084,19,1
9,10,530,1054,9,1
0,9,550,303,15,0
8,2,530,648,18,0
0,7,550,409,3,0
7,12,550,1362,9,1
3,4,530,1520,9,0
10,11,500,1418,2,1
9,8,550,289,5,1
1,7,550,287,8,1
9,1,530,266,16,1
4,12,500,1337,8,1
2,9,550,1313,2,1
0,5,550,585,8,0
10,10,500,980,11,1
8,4,530,585,6,0
4,10,500,1025,19,1
9,9,550,331,4,1
6,1,500,1269,17,1
7,1,500,874,16,0
6,9,500,1447,2,1
4,12,530,1449,20,1
1,3,550,441,17,1
0,9,530,934,18,1
3,10,550,1197,12,0
10,0,530,1108,15,1
10,9,550,987,4,1
0,2,500,238,15,1
10,3,530,1203,20,1
10,2,500,947,15,0
10,3,530,1510,6,0
2,0,500,991,12,1
10,7,530,1214,17,1
4,7,550,1300,14,1
6,2,500,1159,12,0
9,2,530,756,14,1
3,3,500,1216,2,1
10,12,500,271,18,1
1,5,550,978,1,1
8,7,550,463,19,0
0,11,500,1269,15,0
5,11,500,913,8,0
0,1,500,1000,9,0
0,12,530,1147,7,0
6,9,530,351,18,1
9,6,500,516,3,1
8,5,500,422,9,1
7,7,530,1337,15,1
10,6,550,1357,16,1
3,5,530,251,3,0
9,10,530,1243,12,1
6,11,500,1466,19,1
6,3,500,508,19,0
5,1,550,911,5,1
8,10,550,1173,10,1
2,2,500,292,15,0
0,4,550,1206,20,1
3,11,530,1176,9,0
4,1,530,564,2,1
6,9,550,435,12,0
1,7,500,1110,1,0
7,3,530,1169,14,1
6,4,500,1204,9,0
7,6,500,1307,2,1
6,5,500,1090,2,1
4,0,500,1118,15,0
9,2,530,499,16,1
9,11,530,1510,5,1
3,7,550,1221,1,0
5,3,500,1330,5,0
4,0,500,355,15,1
10,12,530,563,2,0
4,3,530,1026,1,0
5,4,500,1282,5,0
2,11,530,505,18,1
10,1,500,1408,7,0
10,1,550,400,13,0
1,9,550,1281,18,0
6,7,500,716,15,1
5,1,500,510,11,1
1,1,500,502,8,0
0,11,550,594,14,1
0,2,550,1326,16,1
9,11,530,1239,6,1
8,0,500,1312,16,1
4,12,550,738,11,1
5,3,530,248,6,1
8,6,550,1071,7,1
8,4,550,1338,12,1
4,2,500,504,17,0
5,9,550,1116,8,1
9,1,530,1256,8,1
5,11,500,1444,12,0
4,11,550,292,16,1
1,11,550,676,13,1
10,6,550,1390,15,1
8,3,550,300,15,0
5,2,530,1193,16,1
